ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_1920,Africa,,"['CLIMATIC_lag2', 'CLIMATIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + CLIMATIC_lag4,0.5659150000977461,0.6572825319369734
mod_1921,Africa,,"['CLIMATIC_lag2', 'CLIMATIC_lag5']",Infectious_disease_binary ~ CLIMATIC_lag2 + CLIMATIC_lag5,0.5502099976185837,0.6651425381284176
mod_1922,Africa,,"['CLIMATIC_lag2', 'CONFLICTS_lag1']",Infectious_disease_binary ~ CLIMATIC_lag2 + CONFLICTS_lag1,0.5546128248576035,0.6399903435949356
mod_1923,Africa,,"['CLIMATIC_lag2', 'CONFLICTS_lag2']",Infectious_disease_binary ~ CLIMATIC_lag2 + CONFLICTS_lag2,0.5495314701018721,0.6399001557980031
mod_1924,Africa,,"['CLIMATIC_lag2', 'CONFLICTS_lag3']",Infectious_disease_binary ~ CLIMATIC_lag2 + CONFLICTS_lag3,0.5505071766049396,0.6457104277696125
mod_1925,Africa,,"['CLIMATIC_lag2', 'CONFLICTS_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + CONFLICTS_lag4,0.5436460227161654,0.6570895531949311
mod_1926,Africa,,"['CLIMATIC_lag2', 'CONFLICTS_lag5']",Infectious_disease_binary ~ CLIMATIC_lag2 + CONFLICTS_lag5,0.5273348704293044,0.6647609668598028
mod_1927,Africa,,"['CLIMATIC_lag2', 'ECOLOGICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECOLOGICAL_lag1,0.5783006349141538,0.6399368352253971
mod_1928,Africa,,"['CLIMATIC_lag2', 'ECOLOGICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECOLOGICAL_lag2,0.5821019537390524,0.6393577188598515
mod_1929,Africa,,"['CLIMATIC_lag2', 'ECOLOGICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECOLOGICAL_lag3,0.5747553684587653,0.6454764162578029
mod_1930,Africa,,"['CLIMATIC_lag2', 'ECOLOGICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECOLOGICAL_lag4,0.5633222880378472,0.6574609144783582
mod_1931,Africa,,"['CLIMATIC_lag2', 'ECOLOGICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECOLOGICAL_lag5,0.5592377302937801,0.6645119887507445
