ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_5027,Asia,C(Continent),"['ECONOMIC_lag2', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag2 + GEOPHYSICAL_lag1 + C(Continent),0.5824727019333803,0.5353717333255282
mod_5028,Asia,C(Continent),"['ECONOMIC_lag2', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag2 + GEOPHYSICAL_lag2 + C(Continent),0.5763458390580934,0.5385077494665091
mod_5029,Asia,C(Continent),"['ECONOMIC_lag2', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag2 + GEOPHYSICAL_lag3 + C(Continent),0.5977389265654554,0.5378389250624572
mod_5030,Asia,C(Continent),"['ECONOMIC_lag2', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag2 + GEOPHYSICAL_lag4 + C(Continent),0.605696355674891,0.5481607789871178
mod_5031,Asia,C(Continent),"['ECONOMIC_lag2', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag2 + GEOPHYSICAL_lag5 + C(Continent),0.621193838254172,0.5537015668993955
mod_5032,Asia,C(Continent),"['ECONOMIC_lag2', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag2 + TECHNOLOGICAL_lag1 + C(Continent),0.6238421741159764,0.521595305393228
mod_5033,Asia,C(Continent),"['ECONOMIC_lag2', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag2 + TECHNOLOGICAL_lag2 + C(Continent),0.627503829289297,0.5200611041195391
mod_5034,Asia,C(Continent),"['ECONOMIC_lag2', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag2 + TECHNOLOGICAL_lag3 + C(Continent),0.6425828305129846,0.5210297489527914
mod_5035,Asia,C(Continent),"['ECONOMIC_lag2', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag2 + TECHNOLOGICAL_lag4 + C(Continent),0.6394779771615008,0.5289648479290866
mod_5036,Asia,C(Continent),"['ECONOMIC_lag2', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag2 + TECHNOLOGICAL_lag5 + C(Continent),0.651523320496363,0.5369600177707858
mod_5037,Asia,C(Continent),"['ECONOMIC_lag3', 'ECONOMIC_lag4']",Infectious_disease_binary ~ ECONOMIC_lag3 + ECONOMIC_lag4 + C(Continent),0.5384414246352943,0.5629966599803539
mod_5038,Asia,C(Continent),"['ECONOMIC_lag3', 'ECONOMIC_lag5']",Infectious_disease_binary ~ ECONOMIC_lag3 + ECONOMIC_lag5 + C(Continent),0.5440607616602482,0.5699808787820396
mod_5039,Asia,C(Continent),"['ECONOMIC_lag3', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag3 + GEOPHYSICAL_lag1 + C(Continent),0.5718092183331056,0.544015042527086
mod_5040,Asia,C(Continent),"['ECONOMIC_lag3', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag3 + GEOPHYSICAL_lag2 + C(Continent),0.5562355716330214,0.5484734453113201
mod_5041,Asia,C(Continent),"['ECONOMIC_lag3', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag3 + GEOPHYSICAL_lag3 + C(Continent),0.5850563470431286,0.5411988951352906
mod_5042,Asia,C(Continent),"['ECONOMIC_lag3', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag3 + GEOPHYSICAL_lag4 + C(Continent),0.5875801025625015,0.5517475519832901
mod_5043,Asia,C(Continent),"['ECONOMIC_lag3', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag3 + GEOPHYSICAL_lag5 + C(Continent),0.6083097988874626,0.556605644135208
mod_5044,Asia,C(Continent),"['ECONOMIC_lag3', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag3 + TECHNOLOGICAL_lag1 + C(Continent),0.6126976821120612,0.5297918584903013
mod_5045,Asia,C(Continent),"['ECONOMIC_lag3', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag3 + TECHNOLOGICAL_lag2 + C(Continent),0.6264626138986975,0.5277865771067208
mod_5046,Asia,C(Continent),"['ECONOMIC_lag3', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag3 + TECHNOLOGICAL_lag3 + C(Continent),0.635427079662565,0.5239555622241279
mod_5047,Asia,C(Continent),"['ECONOMIC_lag3', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag3 + TECHNOLOGICAL_lag4 + C(Continent),0.6309154913087257,0.53107030779671
mod_5048,Asia,C(Continent),"['ECONOMIC_lag3', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag3 + TECHNOLOGICAL_lag5 + C(Continent),0.6425802310654685,0.5392252716399399
mod_5049,Asia,C(Continent),"['ECONOMIC_lag4', 'ECONOMIC_lag5']",Infectious_disease_binary ~ ECONOMIC_lag4 + ECONOMIC_lag5 + C(Continent),0.5486392811296534,0.5721510916171257
